car type,price,mileage,gear_type,year,cynlinder,date
,375000.0,0.0,Automatic,2023,6,2023-01-27
,415000.0,0.0,Automatic,2023,6,2023-01-27
,117000.0,145000.0,Automatic,2016,6,2023-01-27
,272000.0,145000.0,Automatic,2018,8,2023-01-27
,118000.0,44000.0,Automatic,2018,6,2023-01-27
,48000.0,160000.0,Automatic,2014,8,2023-01-27
,58000.0,65000.0,Automatic,2013,6,2023-01-27
,60000.0,259000.0,Automatic,2009,8,2023-01-27
,53000.0,389000.0,Automatic,2008,6,2023-01-27
,29000.0,280000.0,Automatic,2012,8,2023-01-27
,162000.0,339000.0,Automatic,2017,8,2023-01-27
,92000.0,291000.0,Automatic,2013,8,2023-01-27
,58000.0,26000.0,Manual,2016,8,2023-01-27
,100000.0,129417.0,Automatic,2012,6,2023-01-27
,159000.0,119000.0,Automatic,2020,6,2023-01-27
,249000.0,4000.0,Automatic,2022,4,2023-01-27
,69000.0,89000.0,Automatic,2016,4,2023-01-27
,136000.0,295000.0,Automatic,2016,8,2023-01-27
,47000.0,390000.0,Automatic,2009,6,2023-01-27
Toyota  Land Cruiser  VXR,58000.0,316000.0,Automatic,2008,8,2023-01-27
Nissan  Patrol  Super Safari,31000.0,499000.0,Automatic,2003,6,2023-01-27
Chevrolet  Corvette  STINGRAY,630000.0,500.0,Automatic,2023,8,2023-01-27
Toyota  Land Cruiser  VXR,150000.0,214000.0,Automatic,2016,8,2023-01-27
Dodge  Ram  TRX,314000.0,28500.0,Automatic,2021,8,2023-01-27
Infiniti  QX  60,60000.0,70000.0,Automatic,2015,6,2023-01-27
Nissan  Patrol,82000.0,260000.0,Automatic,2015,8,2023-01-27
Lexus  LX  600 F Sport,690000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  VXR- Grand Touring S,233000.0,120000.0,Automatic,2020,8,2023-01-27
Mercedes-Benz  S-Class  450,605000.0,0.0,Automatic,2023,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,845000.0,20600.0,Automatic,2021,8,2023-01-27
Lexus  LX  600 F Sport,657000.0,2000.0,Automatic,2022,6,2023-01-27
Kia  Stinger  GT,125000.0,60000.0,Automatic,2019,6,2023-01-27
Mercedes-Benz  SL  500,118000.0,166000.0,Automatic,2013,8,2023-01-27
Land Rover  Range Rover  Vogue HSE,739000.0,10000.0,Automatic,2023,6,2023-01-27
